filename,title,author,year
text_1.txt,Век нынешний и век минувший,Галич,1968
text_2.txt,Еще раз о черте,Галич,1969
text_3.txt,Виновники найдены,Галич,1966 
text_4.txt,Заклинание Добра и Зла,Галич,1974
text_5.txt,Облака,Галич,1962
text_6.txt,Поезд,Галич,1966
text_7.txt,Засыпая и просыпаясь,Галич,1966
text_8.txt,Чехарда с буквами,Галич,Годпроверить
text_9.txt,Майские стихи,Галич,1976
text_10.txt,Падение Парижа,Галич,1976
text_11.txt,Слушая Баха,Галич,Годпроверить
text_12.txt,Петербургский романс,Галич,1968
text_13.txt,Я выбираю свободу,Галич,Годпроверить
text_14.txt,Неоконченная песня,Галич,Годпроверить
text_15.txt,Старательский вальсок,Галич,Годуточнить
text_16.txt,Легенда о табаке,Галич,Годуточнить
text_17.txt,Песня про майора Чистова,Галич,Годуточнить
text_18.txt,Красный треугольник,Галич,Годуточнить
text_19.txt,Снова август,Галич,Годуточнить
text_20.txt,Кумачовый вальс,Галич,1973
text_21.txt,Острова,Галич,1966
text_22.txt,Плясовая,Галич,1969
text_23.txt,Летят утки,Галич,1969
text_24.txt,Гусарская песня,Галич,1966
text_25.txt,Старый принц,Галич,1972
text_26.txt,Дорожная,Галич,1968
text_27.txt,Плач Дарьи Коломийцевой по поводу запоя ее супруга Клима Петровича,Галич,Годуточнить
text_28.txt,"О том, как Клим Петрович выступал на митинге в защиту мира",Галич,1970
text_29.txt,Признание в любви,Галич,1972
text_30.txt,Священная весна,Галич,1972
text_31.txt,Притча,Галич,Годуточнить
text_32.txt,Воспоминание об Одессе,Галич,1974
text_33.txt,Ночной дозор,Галич,1964
text_34.txt,Левый марш,Галич,1966
text_35.txt,Песня о последней правоте,Галич,1969
text_36.txt,Занялись пожары,Галич,1972
text_37.txt,Олимпийская сказка,Галич,1972
text_38.txt,Когда я вернусь,Галич,1973
text_39.txt,Письмо в семнадцатый век,Галич,1973
text_40.txt,Песня об Отчем доме,1973
text_41.txt,Русские плачи,Галич,1974
text_42.txt,Новогодняя фантасмагория,Галич,1972
text_43.txt,Ночной разговор в вагоне-ресторане,Галич,1969
text_44.txt,,Галич,Годуточнить
text_45.txt,,Галич,Годуточнить
text_46.txt,,Галич,Годуточнить
text_47.txt,,Галич,Годуточнить
text_48.txt,,Галич,Годуточнить
text_49.txt,,Галич,Годуточнить
text_50.txt,,Галич,Годуточнить
text_51.txt,,Галич,Годуточнить
text_52.txt,,Галич,Годуточнить
text_53.txt,,Галич,Годуточнить
text_54.txt,,Галич,Годуточнить
text_55.txt,,Галич,Годуточнить
text_56.txt,,Галич,Годуточнить
text_57.txt,,Галич,Годуточнить
text_58.txt,,Галич,Годуточнить
text_59.txt,,Галич,Годуточнить
text_60.txt,,Галич,Годуточнить
text_61.txt,,Галич,Годуточнить
text_62.txt,,Галич,Годуточнить
text_63.txt,,Галич,Годуточнить
text_64.txt,,Галич,Годуточнить
